date,rank_score
2022-08-12,4978580
2022-08-13,872346
2022-08-13,2818021
2022-08-13,545428
2022-08-13,1220014
2022-08-13,1131909
2022-08-13,4153614
2022-08-13,720639
2022-08-13,803863
2022-08-13,1450063
2022-08-13,3566515
2022-08-13,9154434
2022-08-14,1313763
2022-08-14,2465059
2022-08-14,5294491
2022-08-14,1100004
2022-08-14,1318964
2022-08-14,1263294
2022-08-14,1525523
2022-08-14,2193876
2022-08-14,3706795
2022-08-15,2499653
2022-08-15,836560
2022-08-15,601711
2022-08-15,3402213
2022-08-15,1577019
2022-08-15,6128353
2022-08-15,843903
2022-08-15,547651
2022-08-16,1488498
2022-08-16,2061785
2022-08-16,1232712
2022-08-16,800120
2022-08-16,1479781
2022-08-16,761102
2022-08-17,2290334
2022-08-17,610335
2022-08-17,1649885
2022-08-17,1110237
2022-08-17,1873518
2022-08-17,2815084
2022-08-17,2568466
2022-08-18,1702077
2022-08-18,2365323
2022-08-18,9137187
2022-08-18,2732864
2022-08-18,9867775
2022-08-18,846324
2022-08-18,10492589
2022-08-18,1777932
2022-08-18,730003
2022-08-18,1085214
2022-08-18,1065645
2022-08-18,848169
2022-08-19,892258
2022-08-19,916108
2022-08-19,635910
2022-08-19,1565970
2022-08-19,750049
2022-08-19,1820709
2022-08-19,2694220
2022-08-19,2163394
2022-08-19,1104176
2022-08-19,748960
2022-08-19,2225531
2022-08-20,1214087
2022-08-20,749870
2022-08-20,450542
2022-08-20,1023854
2022-08-20,1547676
2022-08-20,988584
2022-08-20,2465899
2022-08-20,2116087
2022-08-20,2236013
2022-08-21,3322445
2022-08-21,3384908
2022-08-21,899438
2022-08-21,908189
2022-08-21,775458
2022-08-21,1234856
2022-08-21,4080747
2022-08-21,1000425
2022-08-21,628622
2022-08-21,1531116
2022-08-21,1793591
2022-08-21,2182631
2022-08-21,6752003
2022-08-21,4635514
2022-08-21,553006
2022-08-22,1261952
2022-08-22,464814
2022-08-22,426586
2022-08-22,1493610
2022-08-22,2427144
2022-08-22,1225708
2022-08-23,1000654
2022-08-23,2600474
2022-08-23,2335758
2022-08-23,457683
2022-08-23,1395288
2022-08-23,1301813
2022-08-23,1066962
2022-08-23,2788837
2022-08-23,2545192
2022-08-24,819192
2022-08-24,632093
2022-08-24,1800688
2022-08-24,857242
2022-08-24,1281068
2022-08-24,2412639
2022-08-24,2540705
2022-08-24,484351
2022-08-24,2113385
2022-08-25,956880
2022-08-25,844630
2022-08-25,2522961
2022-08-25,742596
2022-08-25,425855
2022-08-25,1721854
2022-08-25,1868914
2022-08-25,2429767
2022-08-25,2751048
2022-08-26,4564354
2022-08-26,1626616
2022-08-26,6391094
2022-08-26,1528663
2022-08-26,2229708
2022-08-26,1410803
2022-08-26,1084424
2022-08-26,2321554
2022-08-26,1656609
2022-08-27,1143954
2022-08-27,1092144
2022-08-27,5951160
2022-08-27,903028
2022-08-27,1826519
2022-08-27,888972
2022-08-27,3168508
2022-08-27,1436168
2022-08-27,1139064
2022-08-27,1060179
2022-08-27,421950
2022-08-28,1539884
2022-08-28,1124908
2022-08-28,1742467
2022-08-28,1798688
2022-08-28,915150
2022-08-28,3020211
2022-08-28,494948
2022-08-28,1606006
2022-08-28,1099828
2022-08-28,1584509
2022-08-28,4113024
2022-08-28,3345084
2022-08-28,2389102
2022-08-29,1234991
2022-08-29,760915
